Bar,em,G,C,D
1,4,6,12,0
2,4,,12,6
3,4,6,12,0
4,4,12,0,6
5,0,6,6,0
6,0,6,6,0
7,0,6,6,0
8,0,6,6,0
9,1,1,0,1
10,0,0,6,6
11,2,0,12,2
12,2,0,12,2
13,2,0,12,2
14,2,0,12,2
15,2,0,12,2
16,2,0,12,2
17,0,14,0,10
18,4,6,12,0
19,4,0,12,6
20,4,6,12,0
21,4,12,0,6
22,0,6,6,0
23,0,6,6,0
24,0,6,6,0
25,0,6,6,0
26,1,1,0,1
27,0,0,6,6
28,2,0,12,2
29,2,0,12,2
30,2,0,12,2
31,2,0,12,2
32,2,0,12,2
33,2,0,12,2
34,0,14,0,10
35,2,0,12,2
36,2,0,12,2
37,2,0,12,2
38,2,0,12,2
39,2,0,12,2
40,2,0,12,2
41,0,14,0,10
42,0,14,0,10
